film,year,movies.budget,movies.revenue,movies.popularity,status
Odd Man Out,1947,0,0,7.21,nominated
A Passage to India,1984,8000000,27201487,7.85,nominated
Romancing the Stone,1984,10000000,86572238,15.5,nominated
Brazil,1985,15000000,0,17.78,nominated
The Color Purple,1985,15000000,146292000,13.98,nominated
The Trip to Bountiful,1985,0,7218340,2.58,nominated
A Chorus Line,1985,0,14202899,7.34,nominated
The Official Story,1985,0,0,6.38,nominated
The Purple Rose of Cairo,1985,15000000,10631333,7.2,nominated
Hamlet,1948,750000,0,6.8,winner
Witness,1985,12000000,68706993,11.68,nominated
Out of Africa,1985,31000000,128499205,10.06,winner
Hannah and Her Sisters,1986,6400000,40084041,7.96,nominated
Peggy Sue Got Married,1986,18000000,41382841,8.59,nominated
Star Trek IV: The Voyage Home,1986,24000000,133000000,12.4,nominated
Children of a Lesser God,1986,0,31853080,5.63,nominated
All the King's Men,1949,0,0,6.83,nominated
Moonstruck,1987,15000000,80640528,12.03,nominated
The Last Emperor,1987,23000000,43984230,11.97,winner
Fatal Attraction,1987,14000000,320145693,17.83,nominated
Broadcast News,1987,20000000,67330500,8.98,nominated
Hope and Glory,1987,0,0,7.06,nominated
Die Hard,1988,28000000,140767956,33.92,nominated
Working Girl,1988,28000000,103173635,8.92,nominated
Dangerous Liaisons,1988,14000000,34670720,9.27,winner
A Fish Called Wanda,1988,7500000,62493712,13.15,nominated
The Asphalt Jungle,1950,1232000,0,8.3,nominated
Gorillas in the Mist,1988,22000000,0,8.27,nominated
The Abyss,1989,70000000,90000098,17.68,nominated
Henry V,1989,9000000,10176701,7.78,winner
Crimes and Misdemeanors,1989,19000000,18254702,7.68,nominated
Born on the Fourth of July,1989,14000000,161001698,10.78,nominated
Driving Miss Daisy,1989,7500000,145793296,10.35,winner
Ghost,1990,22000000,505000000,34.21,winner
An American in Paris,1951,5635000,6981000,8.58,winner
Alice,1990,0,0,5.64,nominated
Metropolitan,1990,225000,2900000,6.43,nominated
The Silence of the Lambs,1991,19000000,272742922,11.28,nominated
Strangers on a Train,1951,1200000,7000000,11.19,nominated
Fried Green Tomatoes,1991,11000000,119418501,14.88,nominated
Terminator 2: Judgment Day,1991,102000000,520000000,65.49,nominated
The Fisher King,1991,24000000,41895491,9.18,nominated
The Addams Family,1991,30000000,191502426,31.1,nominated
JFK,1991,40000000,205405498,16.16,winner
Toys,1992,0,23278931,7.85,nominated
Enchanted April,1992,0,13200170,4.51,nominated
Passion Fish,1992,5000000,4814619,2.67,nominated
Howards End,1992,8000000,26126837,8.57,nominated
The Greatest Show on Earth,1952,4000000,36000000,7.9,nominated
The Player,1992,8000000,21706101,8.59,nominated
Malcolm X,1992,34000000,48169908,13.2,nominated
Husbands and Wives,1992,0,0,7.38,nominated
Bram Stoker's Dracula,1992,40000000,215862692,37.7,winner
The Bad and the Beautiful,1952,1558000,3373000,6.28,winner
High Noon,1952,730000,8000000,8.63,nominated
The Quiet Man,1952,1750000,3800000,7.59,nominated
Unforgiven,1992,14400000,159157447,23.8,winner
Dave,1993,28000000,92000000,11.45,nominated
Schindler's List,1993,22000000,321365567,35.73,winner
The Piano,1993,7000000,40185556,12.41,nominated
The Age of Innocence,1993,34000000,32255440,9.42,nominated
The Snows of Kilimanjaro,1952,0,0,5.32,nominated
Short Cuts,1993,0,6110979,7.38,nominated
Julius Caesar,1953,0,0,8.5,nominated
Speed,1994,30000000,350448145,34.04,nominated
Shane,1953,3100000,20000000,10.66,nominated
Heavenly Creatures,1994,5000000,3049135,7.3,nominated
The War of the Worlds,1953,2000000,0,10.55,nominated
"The Adventures of Priscilla, Queen of the Desert",1994,2000000,11224491,8.13,winner
The Band Wagon,1953,0,0,6.45,nominated
Legends of the Fall,1994,30000000,160638883,18.92,winner
Four Weddings and a Funeral,1994,4400000,245700832,15.18,nominated
A Little Princess,1995,17000000,0,17.52,nominated
Apollo 13,1995,52000000,355237933,15.3,winner
The Caine Mutiny,1954,2000000,21750000,7.62,nominated
