film,category,movies.popularity,movies.vote_count,movies.vote_average,year
Midnight in Paris,BEST PICTURE,15.73,6255,7.5,2011
A Separation,WRITING,11.57,1331,7.9,2011
Manhattan,WRITING,8.75,1916,7.8,1979
Raging Bull,FILM EDITING,15.08,3353,8,1980
The Descendants,BEST PICTURE,38.71,2294,6.8,2011
Ordinary People,DIRECTING,8.31,469,7.5,1980
Hugo,BEST PICTURE,22.43,6168,7.2,2011
Somewhere in Time,COSTUME DESIGN,8.42,411,7.5,1980
On Golden Pond,WRITING,7.22,347,7.3,1981
W.E.,COSTUME DESIGN,8.36,164,6.1,2011
Pennies from Heaven,WRITING,5.59,69,6.2,1981
Ragtime,WRITING,5.95,109,7.1,1981
Chariots of Fire,WRITING,9.95,671,6.9,1981
Excalibur,CINEMATOGRAPHY,10.36,750,7,1981
Tootsie,WRITING,9.86,1395,7.2,1982
Gandhi,WRITING,12.28,1886,7.5,1982
Diner,WRITING,8.04,213,6.9,1982
The Verdict,WRITING,8.08,451,7.4,1982
Mirror Mirror,COSTUME DESIGN,22.98,2868,5.9,2012
Snow White and the Huntsman,COSTUME DESIGN,63.01,7024,6,2012
Moonrise Kingdom,WRITING,9.55,4897,7.7,2012
WarGames,WRITING,9.86,1407,7.1,1983
Beasts of the Southern Wild,WRITING,7.24,879,6.8,2012
Terms of Endearment,DIRECTING,9.09,584,7.1,1983
Skyfall,CINEMATOGRAPHY,68.38,13518,7.2,2012
Argo,WRITING,15.32,7115,7.3,2012
