film,year,Production Country
A Clockwork Orange,1971,United Kingdom
A Clockwork Orange,1971,United States of America
The French Connection,1971,United States of America
The Last Picture Show,1971,United States of America
The Dark Knight,2008,United Kingdom
The Dark Knight,2008,United States of America
The Godfather,1972,United States of America
The Curious Case of Benjamin Button,2008,United States of America
The Poseidon Adventure,1972,United States of America
1776,1972,United States of America
Happy-Go-Lucky,2008,United Kingdom
Deliverance,1972,United States of America
The Sting,1973,United States of America
American Graffiti,1973,United States of America
A Touch of Class,1973,United Kingdom
The Duchess,2008,United Kingdom
Serpico,1973,Italy
Serpico,1973,United States of America
In the Loop,2009,United Kingdom
The Conversation,1974,United States of America
Inglourious Basterds,2009,Germany
Inglourious Basterds,2009,United States of America
Avatar,2009,United States of America
Avatar,2009,United Kingdom
Blazing Saddles,1974,United States of America
Chinatown,1974,United States of America
The Towering Inferno,1974,United States of America
An Education,2009,United Kingdom
Bright Star,2009,Australia
Bright Star,2009,France
Young Frankenstein,1974,United States of America
The Young Victoria,2009,United Kingdom
The Young Victoria,2009,United States of America
Barry Lyndon,1975,United Kingdom
Barry Lyndon,1975,United States of America
All the President's Men,1976,United States of America
Rocky,1976,United States of America
Taxi Driver,1976,United States of America
Two-Minute Warning,1976,United States of America
Alice in Wonderland,2010,United States of America
Winter's Bone,2010,United States of America
Toy Story 3,2010,United States of America
I Am Love,2010,Italy
I Am Love,2010,United Kingdom
Logan's Run,1976,United States of America
The Kids Are All Right,2010,United States of America
Inception,2010,United Kingdom
Inception,2010,United States of America
Star Wars,1977,United States of America
The Tempest,2010,United States of America
Black Swan,2010,United States of America
127 Hours,2010,United Kingdom
127 Hours,2010,United States of America
Another Year,2010,United Kingdom
True Grit,2010,United States of America
The King's Speech,2010,United States of America
The King's Speech,2010,United Kingdom
Close Encounters of the Third Kind,1977,United States of America
The Deer Hunter,1978,United Kingdom
The Deer Hunter,1978,United States of America
Superman,1978,United Kingdom
Superman,1978,United States of America
The Boys from Brazil,1978,United Kingdom
The Boys from Brazil,1978,United States of America
All That Jazz,1979,United States of America
Kramer vs. Kramer,1979,United States of America
Bridesmaids,2011,United States of America
The Help,2011,United States of America
The Rose,1979,United States of America
Jane Eyre,2011,United Kingdom
Jane Eyre,2011,United States of America
Midnight in Paris,2011,Spain
Midnight in Paris,2011,United States of America
A Separation,2011,Iran
Manhattan,1979,United States of America
Raging Bull,1980,United States of America
The Descendants,2011,United States of America
Ordinary People,1980,United States of America
Hugo,2011,United Kingdom
Hugo,2011,United States of America
Somewhere in Time,1980,United States of America
On Golden Pond,1981,United States of America
W.E.,2011,United Kingdom
Pennies from Heaven,1981,United States of America
Ragtime,1981,United States of America
Chariots of Fire,1981,United Kingdom
Excalibur,1981,United Kingdom
Tootsie,1982,United States of America
Gandhi,1982,India
Gandhi,1982,United Kingdom
Diner,1982,United States of America
The Verdict,1982,United States of America
Mirror Mirror,2012,United States of America
Snow White and the Huntsman,2012,United States of America
Moonrise Kingdom,2012,United States of America
WarGames,1983,United States of America
Beasts of the Southern Wild,2012,United States of America
Terms of Endearment,1983,United States of America
Skyfall,2012,United Kingdom
Skyfall,2012,United States of America
Argo,2012,United Kingdom
Argo,2012,United States of America
Lincoln,2012,India
Lincoln,2012,United States of America
Zero Dark Thirty,2012,United States of America
Les Misérables,2012,United Kingdom
Les Misérables,2012,United States of America
Amour,2012,France
Amour,2012,Austria
Silver Linings Playbook,2012,United States of America
Flight,2012,United States of America
The Natural,1984,United States of America
Splash,1984,United States of America
2010,1984,United States of America
Ran,1985,Japan
Ran,1985,France
Kiss of the Spider Woman,1985,Brazil
Kiss of the Spider Woman,1985,United States of America
Top Gun,1986,United States of America
The Great Gatsby,2013,United States of America
The Great Gatsby,2013,Australia
Blue Velvet,1986,United States of America
Before Midnight,2013,Greece
Before Midnight,2013,United States of America
Blue Jasmine,2013,United States of America
20 Feet from Stardom,2013,United States of America
Prisoners,2013,United States of America
Empire of the Sun,1987,China
Empire of the Sun,1987,Spain
Nebraska,2013,United States of America
Dallas Buyers Club,2013,United States of America
RoboCop,1987,United States of America
Radio Days,1987,United States of America
Philomena,2013,United Kingdom
American Hustle,2013,United States of America
The Wolf of Wall Street,2013,United States of America
Maurice,1987,United Kingdom
12 Years a Slave,2013,United States of America
12 Years a Slave,2013,United Kingdom
Rain Man,1988,United States of America
The Accidental Tourist,1988,United States of America
Bull Durham,1988,United States of America
Big,1988,United States of America
The Invisible Woman,2013,United Kingdom
The Last Temptation of Christ,1988,United States of America
The Last Temptation of Christ,1988,Canada
Field of Dreams,1989,United States of America
Dead Poets Society,1989,United States of America
Do the Right Thing,1989,United States of America
Boyhood,2014,United States of America
Maleficent,2014,United States of America
The Hunt for Red October,1990,United States of America
Nightcrawler,2014,United States of America
Birdman or (The Unexpected Virtue of Ignorance),2014,United States of America
Selma,2014,United Kingdom
Selma,2014,United States of America
Into the Woods,2014,United States of America
The Theory of Everything,2014,United Kingdom
Barton Fink,1991,United Kingdom
Barton Fink,1991,United States of America
Hook,1991,United States of America
Scent of a Woman,1992,United States of America
A Few Good Men,1992,United States of America
The Crying Game,1992,Japan
The Crying Game,1992,United Kingdom
Basic Instinct,1992,France
Basic Instinct,1992,United States of America
The Lover,1992,France
The Lover,1992,United Kingdom
The Remains of the Day,1993,United Kingdom
The Remains of the Day,1993,United States of America
In the Name of the Father,1993,United Kingdom
In the Name of the Father,1993,Ireland
The Fugitive,1993,United States of America
Cinderella,2015,United Kingdom
Cinderella,2015,United States of America
Mad Max: Fury Road,2015,Australia
Mad Max: Fury Road,2015,United States of America
Inside Out,2015,United States of America
Sleepless in Seattle,1993,United States of America
In the Line of Fire,1993,United States of America
Philadelphia,1993,United States of America
The Martian,2015,United Kingdom
The Martian,2015,United States of America
Forrest Gump,1994,United States of America
Brooklyn,2015,Ireland
Brooklyn,2015,United Kingdom
Carol,2015,United Kingdom
Carol,2015,United States of America
Room,2015,Canada
Room,2015,Ireland
Quiz Show,1994,United States of America
Star Wars: The Force Awakens,2015,United States of America
The Hateful Eight,2015,United States of America
The Danish Girl,2015,Germany
The Danish Girl,2015,United Kingdom
Leaving Las Vegas,1995,United States of America
Batman Forever,1995,United States of America
The Usual Suspects,1995,United States of America
Jerry Maguire,1996,United States of America
Fargo,1996,United Kingdom
Fargo,1996,United States of America
Lone Star,1996,United States of America
Hamlet,1996,United States of America
Michael Collins,1996,Ireland
Michael Collins,1996,United Kingdom
L.A. Confidential,1997,United States of America
The Full Monty,1997,United Kingdom
Arrival,2016,United States of America
Fantastic Beasts and Where to Find Them,2016,United Kingdom
Fantastic Beasts and Where to Find Them,2016,United States of America
Air Force One,1997,Germany
Air Force One,1997,United States of America
Hidden Figures,2016,United States of America
La La Land,2016,United States of America
Donnie Brasco,1997,United States of America
Sing,2016,United States of America
Jackie,2016,Chile
Jackie,2016,China
20th Century Women,2016,United States of America
Fences,2016,Canada
Fences,2016,United States of America
Manchester by the Sea,2016,United States of America
Florence Foster Jenkins,2016,United Kingdom
Florence Foster Jenkins,2016,United States of America
Out of Sight,1998,United States of America
Velvet Goldmine,1998,United Kingdom
Velvet Goldmine,1998,United States of America
Allied,2016,United Kingdom
Allied,2016,United States of America
Logan,2017,United States of America
Get Out,2017,United States of America
Beauty and the Beast,2017,United States of America
The Green Mile,1999,United States of America
The Big Sick,2017,United States of America
Call Me by Your Name,2017,Brazil
Call Me by Your Name,2017,France
Wonder Boys,2000,Germany
Wonder Boys,2000,Japan
Monster's Ball,2001,United States of America
About a Boy,2002,United Kingdom
About a Boy,2002,United States of America
The Pianist,2002,France
The Pianist,2002,Germany
Gangs of New York,2002,Italy
Gangs of New York,2002,United States of America
Frida,2002,Canada
Frida,2002,Mexico
Finding Nemo,2003,United States of America
The Aviator,2004,Germany
The Aviator,2004,United States of America
Troy,2004,United States of America
Troy,2004,Malta
The Phantom of the Opera,2004,United Kingdom
Collateral,2004,United States of America
Munich,2005,Canada
Munich,2005,United States of America
"Good Night, and Good Luck.",2005,United States of America
"Good Night, and Good Luck.",2005,France
Brokeback Mountain,2005,Canada
Brokeback Mountain,2005,United States of America
Cinderella Man,2005,United States of America
Batman Begins,2005,United Kingdom
Batman Begins,2005,United States of America
The Squid and the Whale,2005,United States of America
Letters from Iwo Jima,2006,Japan
Letters from Iwo Jima,2006,United States of America
The Departed,2006,United States of America
Curse of the Golden Flower,2006,China
Curse of the Golden Flower,2006,Hong Kong
Blood Diamond,2006,Germany
Blood Diamond,2006,United States of America
The Diving Bell and the Butterfly,2007,France
The Diving Bell and the Butterfly,2007,United States of America
Michael Clayton,2007,United States of America
The Bourne Ultimatum,2007,France
The Bourne Ultimatum,2007,Germany
The Prestige,2006,United Kingdom
The Prestige,2006,United States of America
