year,category,film,name,status,gender,movies.title,movies.year,movies.bt_score,movies.dubious,movies.imdbid,movies.tmdbId,movies.popularity,movies.release_date,movies.revenue,movies.vote_average,movies.vote_count,movies.budget,movies.crew_female_representation,Genre,Production Company,Production Country
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,Walter Wanger Productions,United States of America
1939,FILM EDITING,Stagecoach,Dorothy Spencer,nominated,female,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,Walter Wanger Productions,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,Walter Wanger Productions,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,United Artists,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,Walter Wanger Productions,United States of America
1939,FILM EDITING,Stagecoach,Otho Lovering,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,United Artists,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,Walter Wanger Productions,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Western,United Artists,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,Walter Wanger Productions,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Adventure,United Artists,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,Walter Wanger Productions,United States of America
1939,DIRECTING,Stagecoach,John Ford,nominated,male,Stagecoach,1939,3,0,31971,995,11.31,03-03-1939,1103757,7.7,835,531374,2.86,Action,United Artists,United States of America
1939,WRITING,Ninotchka,Walter Reisch,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Comedy,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Walter Reisch,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Romance,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Billy Wilder,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Comedy,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Billy Wilder,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Romance,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Charles Brackett,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Comedy,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Charles Brackett,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Romance,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Melchior Lengyel,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Comedy,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Ninotchka,Melchior Lengyel,nominated,male,Ninotchka,1939,3,0,31725,1859,8.26,23-11-1939,2279000,7.6,276,1365000,0,Romance,Metro-Goldwyn-Mayer,United States of America
1939,WRITING,Love Affair,Mildred Cram,nominated,female,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Comedy,RKO Radio Pictures,United States of America
1939,WRITING,Love Affair,Mildred Cram,nominated,female,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Drama,RKO Radio Pictures,United States of America
1939,WRITING,Love Affair,Mildred Cram,nominated,female,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Romance,RKO Radio Pictures,United States of America
1939,WRITING,Love Affair,Leo McCarey,nominated,male,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Comedy,RKO Radio Pictures,United States of America
1939,WRITING,Love Affair,Leo McCarey,nominated,male,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Drama,RKO Radio Pictures,United States of America
1939,WRITING,Love Affair,Leo McCarey,nominated,male,Love Affair,1939,3,0,31593,43739,5.34,07-04-1939,0,7.3,64,0,4.35,Romance,RKO Radio Pictures,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,Selznick International Pictures,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,United Artists,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,Selznick International Pictures,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,United Artists,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,Selznick International Pictures,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,United Artists,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,Selznick International Pictures,United States of America
1940,FILM EDITING,Rebecca,Hal C. Kern,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,United Artists,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,United Artists,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,United Artists,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,United Artists,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Robert E. Sherwood,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,United Artists,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,United Artists,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,United Artists,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,United Artists,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,Selznick International Pictures,United States of America
1940,WRITING,Rebecca,Joan Harrison,nominated,female,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,United Artists,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,Selznick International Pictures,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,United Artists,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,Selznick International Pictures,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,United Artists,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,Selznick International Pictures,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,United Artists,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,Selznick International Pictures,United States of America
1940,DIRECTING,Rebecca,Alfred Hitchcock,nominated,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,United Artists,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,Selznick International Pictures,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Mystery,United Artists,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,Selznick International Pictures,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Drama,United Artists,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,Selznick International Pictures,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Thriller,United Artists,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,Selznick International Pictures,United States of America
1940,CINEMATOGRAPHY,Rebecca,George Barnes,winner,male,Rebecca,1940,3,0,32976,223,12.09,23-03-1940,6000000,7.9,1301,1288000,5.41,Romance,United Artists,United States of America
1940,WRITING,The Grapes of Wrath,Nunnally Johnson,nominated,male,The Grapes of Wrath,1940,3,0,32551,596,8.93,15-03-1940,1591000,7.8,722,800000,3.45,Drama,20th Century Fox,United States of America
1940,FILM EDITING,The Grapes of Wrath,Robert Simpson,nominated,male,The Grapes of Wrath,1940,3,0,32551,596,8.93,15-03-1940,1591000,7.8,722,800000,3.45,Drama,20th Century Fox,United States of America
1940,DIRECTING,The Grapes of Wrath,John Ford,winner,male,The Grapes of Wrath,1940,3,0,32551,596,8.93,15-03-1940,1591000,7.8,722,800000,3.45,Drama,20th Century Fox,United States of America
